0x00427C81629Cd592Aa068B0290425261cbB8Eba2,569928,74
0x0086e622aC7afa3e5502dc895Fd0EAB8B3A78D97,56816,8
0x0127F5b0e559D1C8C054d83f8F187CDFDc80B608,92412,12
0x01914D6E47657d6A7893F84Fc84660dc5aec08b6,16176,2
0x027DA06f9247832D294b3004F1565C8E97382A1F,216336,28
0x028afa72DADB6311107c382cF87504F37F11D482,934292,136
0x02df7e960FFda6Db4030003D1784A7639947d200,127539050857848,11719689120
0x031B8ece36b2C1f14C870421A1989AEbe3d7bcFa,47298,6
0x0562695929503E930DE265F944B899dEBF93Df7c,16202,2
0x056590F16D5b314a132BbCFb1283fEc5D5C6E670,674024,108
0x05Dc8E95a479dDA8C8Fc5a27Eb825f5042048937,10539632358966,561604676
0x05cD14412ccd74F05379199181aA1847ed4802fd,35226,6
0x0625fAaD99bCD3d22C91aB317079F6616e81e3c0,451821615978582,41747096010
0x066E9372fF4D618ba8f9b1E366463A18DD711e5E,31532,4
0x0679bE304b60cd6ff0c254a16Ceef02Cb19ca1B8,104286,14
0x069e85D4F1010DD961897dC8C095FBB5FF297434,178116,22
0x072Fa8a20fA621665B94745A8075073ceAdFE1DC,256066,44
0x083aA7FF9AE00099471902178bf2fda4e6aC14Bf,7656,2
0x0872FcfE9C10993c0e55bb0d0c61c327933D6549,36712,8
0x0898512055826732026aC02242E7D7B66fccC2B0,53376,8
0x093037BA3A1e350f549F0Ff8Ff17C86B1FfA2B4b,79040,10
0x0933F554312C7bcB86dF896c46A44AC2381383D1,3603086208220362,187709622802
0x09Bc3c127ED4c491880c2A250d6d034696cb5fC1,12724,2
0x0E9a7280741E9B018beb5Fe409e6e21689F3B8EF,28008,4
0x0F101CcDd4673316933339C8fba5Fc3b262cf4Cb,226748,36
0x0a1f1d3E71E981156EEF5538e7B3Ed40729684FF,42644,4
0x0b8e605A7446801ae645e57de5AAbbc251cD1e3c,332126,42
0x0be9A9100A95075270e47De519D53c5fc8F7C936,-6845905021400,-454185310
0x0ccBCaA60D8b59bDf751B70Ee623d58c609170ac,12774,2
0x0d07708d0E155865D9baEe9963E16ddd46F5dECF,303450,42
0x0e109847630A42fc85E1D47040ACAd1803078DCc,36702,6
0x0e40Cf5c020ADa54351699a004fAEbE5e709a3A2,6492217919681646,607581467620
0x0eF8249cDF160C30d9ad1C46aa845Fd097EF498c,1154354,184
0x0f5F4b5b7ca352cf4F5f2fc1Ac8A9889DECc4fCB,263794,54
0x1083D7254E01beCd64C3230612BF20E14010d646,575760,96
0x10bf1Dcb5ab7860baB1C3320163C6dddf8DCC0e4,187368,24
0x1164fe7a76D22EAA66f6A0aDcE3E3a30d9957A5f,6016,4
0x116E7Dbd690D6624FEeF080b9e8EbD6f967Fe315,310272,42
0x11D86e9F9C2a1cF597b974E50C660316c92215AA,54880,8
0x11b197e2C61c2959Ae84bC7f9db8E3fEFe511043,515836,72
0x11e2497AA81E45E824a4A4Ea8FD941a1059eD333,63696,8
0x1202fBA35cc425c07202BAA4b17fA9a37D2dBeBb,97036,12
0x127c224bF830b74B823dc3e360A9aFf22A517E00,351286,54
0x12C5EAcf06d71E7a13127E98CCb515b6B3c5f186,14732,2
0x12Ed7C9007Cf0CB79b37E33D0244aD90c2a65C0B,99922,18
0x12b1c89124aF9B720C1e3E8e31492d66662bf040,339924,42
